id_ejecucion,servicio,endpoint,publicaciones,repeticion,http_status,latencia_total_s,tiempo_interno_s,publicaciones_por_segundo,memoria_base_mb,memoria_pico_mb,incremento_memoria_mb,conteo_A,conteo_B,conteo_C,iteraciones,inercia,silueta
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,7,200,2.1714885,,230.256803,162.719,166.539,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,8,200,2.2431526,,222.900573,162.719,166.539,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,9,200,1.691641,,295.570987,162.719,166.539,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,10,200,1.8863357,,265.064166,162.723,166.543,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,1,200,6.4411828,,129.168823,163.441,174.012,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,2,200,6.6790484,,124.568644,163.473,174.043,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,3,200,5.9937668,,138.810873,163.473,174.043,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,4,200,6.3542469,,130.936052,163.477,174.055,10.578,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,5,200,6.5582833,,126.862467,163.484,174.055,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,6,200,11.2246826,,74.122363,163.484,174.055,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,7,200,6.66333,,124.862494,163.484,174.055,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,8,200,6.5482628,,127.056599,163.457,174.027,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,9,200,5.9003866,,141.00771,163.461,174.031,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,832,10,200,6.9980822,,118.889715,163.469,174.039,10.57,166,250,416,9,1345.1494045682039,0.370716590316574
