bootstrap_id,sample_seed,n_total,n_unicos_muestra,cobertura_muestra,n_fuera_muestra,proporcion_fuera_muestra,n_asignaciones_ambiguas,n_comparables,proporcion_comparable,iteraciones,inercia,silhouette,davies_bouldin,calinski_harabasz,ari_referencia,coincidencia_referencia,jaccard_A,jaccard_B,jaccard_C,cantidad_A,cantidad_B,cantidad_C,tiempo_segundos,error
11,2036,832,526,0.6322115384615384,306,0.36778846153846156,5,521,0.6262019230769231,5,1353.1751456813313,0.36902663602881647,1.106253773877156,350.06621546878705,0.8266146776138196,0.9404990403071017,0.8813559322033898,0.8674698795180723,0.9029850746268657,166,250,416,4.397623000000749,
12,2037,832,531,0.6382211538461539,301,0.36177884615384615,2,529,0.6358173076923077,9,1285.2286321808137,0.3773386052867984,1.0776026215955403,390.48673472942653,0.9211720029584606,0.9735349716446124,0.918918918918919,0.9642857142857143,0.9507575757575758,166,250,416,4.307170699999915,
13,2038,832,524,0.6298076923076923,308,0.3701923076923077,4,520,0.625,8,1329.671794844994,0.36640418655167745,1.1310218889353194,363.5807294033093,0.9678480756431019,0.9865384615384616,0.9380530973451328,0.9685534591194969,0.9921568627450981,166,250,416,6.051518000000215,
14,2039,832,524,0.6298076923076923,308,0.3701923076923077,1,523,0.6286057692307693,8,1346.3330296843858,0.36954744537748113,1.1196979900710515,353.95177024479096,0.9664498733851131,0.9847036328871893,0.9238095238095239,0.9580838323353293,0.9961389961389961,166,250,416,5.160580100000516,
15,2040,832,521,0.6262019230769231,311,0.37379807692307687,1,520,0.625,3,1346.508308029848,0.35442945596289477,1.11360104590971,353.85173896087525,0.9210083841023042,0.9730769230769231,0.9009009009009009,0.9751552795031055,0.950381679389313,166,250,416,3.808041199999934,
16,2041,832,520,0.625,312,0.375,0,520,0.625,5,1351.5432439322212,0.36089866649450386,1.1141578946415573,350.98938011774356,0.9032516697758372,0.9596153846153846,0.8245614035087719,0.9197530864197531,0.9660377358490566,166,250,416,3.7677333999999973,
17,2042,832,542,0.6514423076923077,290,0.3485576923076923,1,541,0.6502403846153846,5,1335.395391015388,0.3693623647916989,1.1038622898929873,360.2458220694715,0.9489728992440167,0.9833641404805915,0.9464285714285714,0.9822485207100592,0.966542750929368,166,250,416,5.228537699998924,
18,2043,832,522,0.6274038461538461,310,0.37259615384615385,4,518,0.6225961538461539,3,1283.0674835037842,0.3667693102990448,1.0668931013678922,391.8426228952123,0.9234357115567413,0.972972972972973,0.9181818181818182,0.9415584415584416,0.9626865671641791,166,250,416,4.688487399998849,
19,2044,832,523,0.6286057692307693,309,0.3713942307692307,0,523,0.6286057692307693,6,1372.826779334803,0.3652888488564476,1.1391544472694617,339.1216626698574,0.966676625149492,0.9866156787762906,0.9385964912280702,0.9743589743589743,0.9884615384615385,166,250,416,5.9835606000015105,
20,2045,832,541,0.6502403846153846,291,0.3497596153846154,7,534,0.6418269230769231,10,1333.1249722845791,0.37716001637211216,1.0823539877505473,361.56527633115854,0.8883733833734317,0.9606741573033708,0.9238095238095239,0.8830409356725146,0.9498207885304659,166,250,416,4.94074240000009,
21,2046,832,527,0.6334134615384616,305,0.36658653846153844,0,527,0.6334134615384616,7,1332.2502534523194,0.36393443437597833,1.1072916195313225,362.0748194222636,0.9284657272543078,0.9753320683111955,0.911504424778761,0.9683544303797469,0.9591078066914498,166,250,416,4.441904900000736,
22,2047,832,519,0.6237980769230769,313,0.37620192307692313,1,518,0.6225961538461539,4,1318.5879219408998,0.36879283104610133,1.0846502619011638,370.1211714704085,0.90865676187408,0.9671814671814671,0.9035087719298246,0.9254658385093167,0.9576923076923077,166,250,416,5.085394499999893,
